               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  50,            0.019675,           0.0087798,                   0,             0.99935,                   1,               0.995,             0.78687,           0.0059849,           0.0050233,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.020112,           0.0091238,                   0,                   1,              0.9994,               0.995,             0.85881,           0.0045197,           0.0048162,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.020677,           0.0090431,                   0,             0.99941,                   1,               0.995,             0.83109,           0.0047209,           0.0040029,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.019852,           0.0090883,                   0,             0.99975,                   1,               0.995,             0.79971,           0.0059151,            0.005747,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.022832,           0.0084101,                   0,                   1,             0.99974,               0.995,             0.85094,           0.0042267,            0.003983,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.019377,           0.0087732,                   0,             0.99625,                   1,               0.995,             0.83516,           0.0051369,           0.0058317,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.018082,           0.0085801,                   0,             0.99977,                   1,               0.995,             0.75382,           0.0058589,           0.0041939,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.013892,           0.0081188,                   0,             0.99981,                   1,               0.995,             0.84635,           0.0051545,            0.004642,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.014671,           0.0080673,                   0,             0.99572,             0.98442,             0.99484,             0.86207,           0.0044657,           0.0047325,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.017173,           0.0084818,                   0,             0.99329,             0.99688,             0.99491,             0.85222,           0.0046639,           0.0062147,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.018373,           0.0079996,                   0,             0.98451,             0.99008,             0.99462,             0.73243,           0.0074665,           0.0050124,                   0,            0.004159,            0.004159,            0.004159
                  61,             0.02033,           0.0077184,                   0,                   1,             0.99979,               0.995,             0.90049,           0.0037857,           0.0047175,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.018805,           0.0077038,                   0,             0.99973,                   1,               0.995,             0.83804,           0.0050007,           0.0049146,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.015779,           0.0079396,                   0,                   1,             0.99983,               0.995,             0.78214,           0.0065347,           0.0055237,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.02165,           0.0079189,                   0,             0.99951,                   1,               0.995,             0.89854,           0.0039413,           0.0057793,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.015476,           0.0074636,                   0,                   1,             0.99647,               0.995,             0.81016,            0.005696,           0.0043041,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.016966,           0.0074469,                   0,                   1,             0.99993,               0.995,             0.88926,           0.0037895,           0.0043704,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.015078,           0.0075143,                   0,             0.99979,                   1,               0.995,             0.79498,           0.0060527,           0.0043591,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.011158,           0.0075675,                   0,             0.99968,                   1,               0.995,             0.86135,           0.0046983,           0.0040144,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.015993,           0.0075143,                   0,              0.9999,                   1,               0.995,             0.84072,           0.0051793,           0.0045865,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.013857,            0.007324,                   0,             0.99993,                   1,               0.995,             0.82802,           0.0051459,           0.0038418,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.014636,            0.007514,                   0,             0.99981,                   1,               0.995,             0.88527,           0.0038324,           0.0039395,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.022386,           0.0076973,                   0,             0.99978,                   1,               0.995,             0.85434,           0.0046919,           0.0039859,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.014853,            0.007473,                   0,             0.99979,                   1,               0.995,             0.86603,           0.0043331,           0.0040793,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.020005,           0.0075587,                   0,             0.99974,                   1,               0.995,             0.89431,           0.0039233,            0.004382,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.01628,           0.0077189,                   0,             0.99974,                   1,               0.995,             0.82864,            0.005069,           0.0043723,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.015983,           0.0076242,                   0,             0.99991,                   1,               0.995,             0.89052,           0.0035987,           0.0038695,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.017498,           0.0072528,                   0,             0.99972,                   1,               0.995,             0.89223,           0.0038289,           0.0046824,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.017257,           0.0073851,                   0,                   1,             0.99836,               0.995,             0.83076,            0.006141,           0.0060592,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.015825,           0.0077643,                   0,             0.99978,                   1,               0.995,             0.81401,           0.0056608,            0.004483,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.016458,           0.0075114,                   0,             0.99977,                   1,               0.995,             0.84974,           0.0043629,           0.0040732,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.014564,           0.0075592,                   0,             0.99981,                   1,               0.995,             0.88852,           0.0038635,           0.0041691,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.017254,           0.0076025,                   0,              0.9998,                   1,               0.995,             0.87865,           0.0041474,           0.0038131,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.020121,           0.0074186,                   0,             0.99967,                   1,               0.995,             0.86517,           0.0042055,           0.0042112,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.016764,           0.0080844,                   0,             0.99969,                   1,               0.995,             0.75555,           0.0065161,           0.0041689,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.018684,           0.0084211,                   0,             0.99988,                   1,               0.995,             0.68245,           0.0084853,           0.0044455,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.018317,           0.0079307,                   0,             0.99989,             0.99688,               0.995,             0.68627,           0.0081827,           0.0043847,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.013587,           0.0077318,                   0,             0.99974,                   1,               0.995,             0.82454,           0.0046453,           0.0043947,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.014411,           0.0077509,                   0,             0.99978,                   1,               0.995,             0.81838,           0.0047289,           0.0042255,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.015176,           0.0075241,                   0,             0.99976,                   1,               0.995,             0.86889,           0.0038205,           0.0036176,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.010368,           0.0070258,                   0,                   1,             0.99887,               0.995,             0.86431,           0.0038233,           0.0038221,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.012745,           0.0068075,                   0,             0.99978,                   1,               0.995,             0.89129,           0.0033974,           0.0037963,                   0,             0.00109,             0.00109,             0.00109
                  92,           0.0092156,           0.0069472,                   0,             0.99978,                   1,               0.995,             0.87296,           0.0037395,           0.0034926,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.017703,           0.0068663,                   0,              0.9998,                   1,               0.995,             0.88788,           0.0035504,           0.0034807,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.015878,           0.0066316,                   0,              0.9998,                   1,               0.995,             0.88754,           0.0035575,           0.0035602,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.018855,           0.0067673,                   0,              0.9998,                   1,               0.995,             0.90824,           0.0032254,           0.0035061,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.019218,           0.0066557,                   0,              0.9998,                   1,               0.995,             0.89274,           0.0034227,            0.003426,                   0,            0.000595,            0.000595,            0.000595
                  97,             0.01346,           0.0063315,                   0,             0.99978,                   1,               0.995,             0.90402,           0.0034337,           0.0034912,                   0,            0.000496,            0.000496,            0.000496
                  98,           0.0092597,           0.0064919,                   0,             0.99978,                   1,               0.995,             0.91296,           0.0030996,           0.0034102,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.012218,           0.0063787,                   0,             0.99979,                   1,               0.995,             0.90981,           0.0031061,           0.0033892,                   0,            0.000298,            0.000298,            0.000298
